description,date,Ruggerio,Lynch Prata,Mr. President,Goldin,Satchell,Nesselbush,Picard,Calkin,Archambault,Cote,Kettle,Cool Rumsey,Raptakis,Seveney,Crowley,Algiere,Jabour,Da Ponte,Pagliarini,Gallo,Madam President,Coyne,Morgan,Metts,Sosnowski,Gee,Lynch,O'Neill,Doyle,Goodwin,Ciccone,Paiva Weed,Conley,Hodgson,Lombardo,Felag,Walaska,Pearson,Paolino,Pichardo,Sheehan,Fogarty,Miller,DiPalma,McCaffrey,Quezada,Bates,Ottiano,Lombardi
CALENDARITEM 31        2016-H 7050 SUB AAzzinaro         EDUCATIONRELATING TO EDUCATIONPassage,FRIDAY/ JUNE 17/ 201610:03:38 PM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,N/A,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 32             2016-S 3096Pearson          ORDEREDEDUCATION -HEALTH AND SAFETY OF PUPILSPassage,FRIDAY/ JUNE 17/ 201610:04:28 PM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 33             2016-S 2801Archambault      EnvironmentRELATING TOANIMALS AND ANIMAL HUSBANDRYPassage,FRIDAY/ JUNE 17/ 201610:05:34 PM,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 34             2016-S 3060Sosnowski        EnvironmentSTATE AFFAIRS AND GOVERNMENT -FARMLAND PRESERVATION ACTPassage,FRIDAY/ JUNE 17/ 201610:06:27 PM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,Y,NV,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 36     2016-H 7454 SUB A aaAbney            FINANCEMAKING APPROPRIATIONS FORTHE STATE OF RI FY 2017PassageIn Concurrence,SATURDAY/ JUNE 18/ 20161:34:19 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 25             2016-S 2118Goldin           ORDEREDRELATING TO TOWNS AND CITIES -EMERGENCY POLICE POWERApproval of Amendment,SATURDAY/ JUNE 18/ 20161:37:21 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,NV,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 25             2016-S 2118Goldin           ORDEREDRELATING TO TOWNS AND CITIES -EMERGENCY POLICE POWERPassage as Amended,SATURDAY/ JUNE 18/ 20161:37:48 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,NV,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,N,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 5              2016-S 2541Pearson          JUDICIARYRELATING TO HEALTH AND SAFETY -VITAL RECORDSPassage,SATURDAY/ JUNE 18/ 20161:39:04 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,NV,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,N/A,NV
CALENDARITEM 35             2016-S 3094Archambault      ORDEREDRELATING TO TAXATIONPassage,SATURDAY/ JUNE 18/ 20161:40:00 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 37   2016-S 2188 as amendedSheehan          ORDEREDRELATING TO TAXATION -TOWN OF NARRAGANSETTPassageIn Concurrence,SATURDAY/ JUNE 18/ 20161:40:50 AM,Y,N,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,N,Y,N,N,NV,Y,NV,Y,Y,Y,N/A,NV,Y,Y,N,N/A,N,N/A,NV,N,Y,N,N/A,Y,Y,N,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 39             2016-S 2877DaPonte          JUDICIARYMOTOR AND OTHER VEHICLES -OPERATORS' AND CHAUFFEURS' LIC.Approval of Amendment,SATURDAY/ JUNE 18/ 20161:44:21 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N,N/A,Y,N/A,Y,Y,Y,Y,N,Y,NV,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 39             2016-S 2877DaPonte          JUDICIARYMOTOR AND OTHER VEHICLES -OPERATORS' AND CHAUFFEURS' LIC.Passage as Amended,SATURDAY/ JUNE 18/ 20161:52:01 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,N,N/A,Y,N/A,Y,N,Y,Y,N,Y,NV,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 40             2016-S 3098McCaffrey        ORDEREDLEAD AND COPPER DRINKINGWATER PROTECTION ACTPassage,SATURDAY/ JUNE 18/ 20161:52:48 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 41        2016-S 2170 SUB AFelag            ORDEREDRELATING TO EDUCATION -HEALTH AND SAFETY OF PUPILSPassage,SATURDAY/ JUNE 18/ 20161:53:56 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 45             2016-S 2369Miller           JUDICIARYRELATING TO ELECTIONS -CAMPAIGN FINANCEPassage,SATURDAY/ JUNE 18/ 20161:56:07 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,N,Y,Y,N,Y,NV,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 46        2016-S 2428 SUB ADoyle            JUDICIARYBUSINESSES AND PROFESSIONS --BODY WORKS SERVICES EST.Passage,SATURDAY/ JUNE 18/ 20161:57:40 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 47        2016-S 2316 SUB ACrowley          JUDICIARYDELINQUENT & DEPENDENT CHILDRENNATIONAL CRIMINAL RECORDS CHECKPassage,SATURDAY/ JUNE 18/ 20161:59:01 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 49        2016-S 2763 SUB ASosnowski        JUDICIARYRELATING TOAGRICULTURE AND FORESTRYPassage,SATURDAY/ JUNE 18/ 20162:01:28 AM,Y,N,N/A,Y,Y,Y,Y,N/A,Y,N,N,N/A,N,N/A,Y,Y,Y,N,N,Y,NV,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
ITEM                2016-H 7644Reconsider,SATURDAY/ JUNE 18/ 20162:03:05 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
ITEM                2016-H 7644Approval of Amendment,SATURDAY/ JUNE 18/ 20162:04:33 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
ITEM                2016-H 7644Passage as Amended,SATURDAY/ JUNE 18/ 20162:05:05 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 10             2016-H 8166Winfield         FINANCERELATING TO TAXATIONPassageIn Concurrence,SATURDAY/ JUNE 18/ 20162:06:06 AM,Y,Y,N/A,Y,Y,Y,NV,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 38   2016-H 8264 as amendedCasey            ORDEREDRELATING TO TAXATION -PROPERTY SUBJECT TO TAXATIONApproval of Amendment,SATURDAY/ JUNE 18/ 20162:08:35 AM,Y,NV,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 38   2016-H 8264 as amendedCasey            ORDEREDRELATING TO TAXATION -PROPERTY SUBJECT TO TAXATIONPassage as Amended,SATURDAY/ JUNE 18/ 20162:09:01 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 42        2016-H 7895 SUB AKeable           ORDEREDRELATING TO FISH AND WILDLIFE -LICENSESPassageIn Concurrence,SATURDAY/ JUNE 18/ 20162:09:58 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 43        2016-H 7072 SUB ACarson           JUDICIARYSTATE AFFAIRS AND GOVERNMENT -DEPARTMENT OF TRANSPORTATIONPassage,SATURDAY/ JUNE 18/ 20162:10:48 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 44        2016-H 8308 SUB AAmore            ORDEREDRELATING TO EDUCATION -THE RI BOARD OF EDUCATION ACTPassageIn Concurrence,SATURDAY/ JUNE 18/ 20162:11:58 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,N,Y,NV,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 50        2016-S 2799 SUB ACoyne            ORDEREDRELATING TO FISH AND WILDLIFE -LICENSESPassageIn Concurrence,SATURDAY/ JUNE 18/ 20162:12:46 AM,Y,Y,N/A,Y,Y,Y,Y,N/A,Y,Y,Y,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
ADOPTIONof theCONSENT CALENDAR,SATURDAY/ JUNE 18/ 20164:29:54 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
ITEM                2016-S 3100,SATURDAY/ JUNE 18/ 20164:30:50 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,NV,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 1              2016-S 2375Goodwin          JUDICIARYINSURANCE - UNFAIR CLAIMSSETTLEMENT PRACTICES ACTApproval of Amendment,SATURDAY/ JUNE 18/ 20164:31:47 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 1              2016-S 2375Goodwin          JUDICIARYINSURANCE - UNFAIR CLAIMSSETTLEMENT PRACTICES ACTPassage as Amended,SATURDAY/ JUNE 18/ 20164:32:04 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,NV,NV,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 2         2016-S 2473 SUB ACiccone          FINANCESTATE AFFAIRS AND GOVERNMENT --RHODE ISLAND JUSTICE COMMISSIONPassage,SATURDAY/ JUNE 18/ 20164:32:41 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 3              2016-S 2875Nesselbush       HealthRELATING TO HEALTH AND SAFETY -NURSING ASSISTANTSPassage,SATURDAY/ JUNE 18/ 20164:33:22 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,NV,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 4     2669 SUB A as amendedCoyne            ORDEREDRELATING TO EDUCATION -CURRICULUM - FREE PLAY RECESSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:34:14 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 5              2016-S 3099Lombardi         ORDEREDAERONAUTICS --UNPILOTED AERIAL VEHICLE REG.Passage,SATURDAY/ JUNE 18/ 20164:34:55 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,NV,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,NV,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 6         2016-H 7583 SUB AHandy            ORDEREDRELATING TO EDUCATION -HEALTH AND SAFETY OF PUPILSPassage,SATURDAY/ JUNE 18/ 20164:35:44 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,NV,Y,N,Y,Y,Y,Y,Y,Y,Y,N/A,NV,NV,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 7              2016-H 7330Coughlin         JUDICIARYELECTIONS -CONDUCT OF ELECTIONVOTING EQUIPMENT SUPPLIERSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:36:24 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,NV,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 8              2016-H 7674Jacquard         JUDICIARYPROCEDURE GENERALLY -LEVY AND SALE ON EXECUTIONPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:37:02 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 9     7816 SUB A as amendedSerpa            ORDEREDBUSINESSES AND PROFESSIONS -PHARMACIESApproval of Amendment,SATURDAY/ JUNE 18/ 20164:38:19 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,NV,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 9     7816 SUB A as amendedSerpa            ORDEREDBUSINESSES AND PROFESSIONS -PHARMACIESPassage as Amended,SATURDAY/ JUNE 18/ 20164:38:41 AM,Y,Y,N/A,NV,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 10             2016-H 8165Kennedy          JUDICIARYFEDERAL SECURE AND FAIRENFORCEMENT FOR MORTGAGE LIC.PassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:39:35 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,R,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 11        2016-H 7147 SUB AEdwards          JUDICIARYRELATING TO ELECTIONS -CAMPAIGN FINANCEPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:40:09 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 12        2016-S 2424 SUB APicard           JUDICIARYFINANCIAL INSTITUTIONS -GUARANTEED ASSET PROTECTIONPassage,SATURDAY/ JUNE 18/ 20164:40:55 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,NV,R,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,R,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,N/A,NV
CALENDARITEM 13             2016-H 7305McKiernan        JUDICIARYBUSINESSES AND PROFESSIONS -HOME INSPECTORSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:41:33 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 14        2016-S 2579 SUB BLynch Prata      ORDEREDAN ACT RELATING TOBHDDHPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:42:27 AM,Y,Y,N/A,NV,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 15        2016-S 2374 SUB AArchambault      ORDEREDMOTOR AND OTHER VEHICLES -VIOLATIONSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:43:01 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,NV,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 16        2016-S 2056 SUB ACrowley          ORDEREDFOOD AND DRUGS-REGULATION OF POWDERED CAFFEINEPassage,SATURDAY/ JUNE 18/ 20164:43:25 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,NV,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 17        2016-S 2087 SUB BMiller           ORDEREDPUBLIC UTILITIES AND CARRIERS -DUTIES & UTILITIES & CARRIERSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:44:01 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,NV,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 18             2016-H 7865Ackerman         ORDEREDAMNESTY FOR REPORTERS OFVIOLENCE AT HIGHER EDUCATIONPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:44:30 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,NV,N/A,N/A,N/A,NV
CALENDARITEM 19        2016-H 7683 SUB ABlazejewski      ORDEREDCRIMINAL PROCEDURE -DOMESTIC VIOLENCE PREVENTION ACTPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:45:07 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 20             2016-H 7734Costantino       ORDEREDHIGHWAYS -MAINTENANCE OF TOWN HIGHWAYSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:45:46 AM,Y,Y,N/A,Y,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,N,Y,Y,N,Y,Y,Y,N,Y,Y,N,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,Y,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 21        2016-S 2900 SUB BGoodwin          ORDEREDCRIMINAL PROCEDURE -DOMESTIC VIOLENCE PREVENTION ACTPassage,SATURDAY/ JUNE 18/ 20164:46:18 AM,Y,NV,N/A,Y,Y,NV,Y,N/A,Y,NV,NV,N/A,Y,N/A,Y,Y,Y,Y,N,Y,Y,Y,N,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,NV,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
CALENDARITEM 22        2016-H 7441 SUB AMalik            ORDEREDMILITARY AFFAIRS AND DEFENSE -BURIAL OF VETERANSPassageIn Concurrence,SATURDAY/ JUNE 18/ 20164:47:09 AM,Y,Y,N/A,NV,Y,NV,Y,N/A,Y,Y,NV,N/A,Y,N/A,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N/A,NV,Y,Y,Y,N/A,Y,N/A,NV,Y,NV,Y,N/A,Y,Y,Y,Y,Y,Y,N/A,N/A,N/A,NV
